# pq-sigs benchmark results
# date:         2026-05-26T10:27:11Z
# host:         development
# os:           Debian GNU/Linux 13 (trixie)
# kernel:       6.19.11-zabbly+
# cpu:          12th Gen Intel(R) Core(TM) i7-12650H
# cores:        8 (threads/core: 2)
# max_freq_mhz: 4600 (cur: 400 MHz)
# governor:     powersave
# turbo:        enabled
# flags:        fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush dts acpi mmx fxsr sse sse2 ss ht tm pbe syscall nx pdpe1gb rdtscp lm constant_tsc art arch_perfmon pebs bts rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq dtes64 monitor ds_cpl vmx smx est tm2 ssse3 sdbg fma cx16 xtpr pdcm pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand lahf_lm abm 3dnowprefetch cpuid_fault epb ssbd ibrs ibpb stibp ibrs_enhanced tpr_shadow flexpriority ept vpid ept_ad fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid rdseed adx smap clflushopt clwb intel_pt sha_ni xsaveopt xsavec xgetbv1 xsaves split_lock_detect user_shstk avx_vnni dtherm ida arat pln pts hwp hwp_notify hwp_act_window hwp_epp hwp_pkg_req hfi vnmi umip pku ospke waitpkg gfni vaes vpclmulqdq rdpid movdiri movdir64b fsrm md_clear serialize arch_lbr ibt flush_l1d arch_capabilities
#
# compiler:     cc (Debian 14.2.0-19) 14.2.0
# openssl:      OpenSSL 3.6.2 7 Apr 2026 (Library: OpenSSL 3.6.2 7 Apr 2026)
# sources:
#   schemes/faest/ref: https://github.com/faest-sign/faest-ref@77caab6dc19685adfc1197547dc21efd9940fa8c
#   schemes/fndsa/ref: https://github.com/pornin/c-fn-dsa@33026d4d2734049a23f065f77eea11c35de58d76
#   schemes/hawk/ref: https://github.com/hawk-sign/dev@1b9fef52559273fe7b40fe3e22968eaedd3a4c2a
#   schemes/mayo/ref: https://github.com/PQCMayo/MAYO-C@4108b71d416ce5947398b48b8abcb2a8c6803f3b
#   schemes/mldsa/ref: https://github.com/pq-crystals/dilithium.git@6e00625c5b29f516c6de973fe2ee2fbb150973f9
#   schemes/mqom/ref: https://github.com/mqom/mqom-v2@9a5a4d5137c0c9e7974eb8879aa7f13fa6c8ab4d
#   schemes/qruov/ref: https://github.com/qruov/round2.git@787f8dba4c158f713d3351e7531edbec4afddf97
#   schemes/sdith/ref: https://github.com/sdith/sdith@fff41ae5b12ba3c6b90d8f97b2ede57aa277a92f
#   schemes/slhdsa/ref: https://github.com/pq-code-package/slhdsa-c@fac08b7d0a93849de0ee163c63712395e012b38c
#   schemes/snova/ref: https://github.com/PQCLAB-SNOVA/SNOVA.git@9da14981336ede257c41ef53cc069989051e8181
#   schemes/sqisign/ref: https://github.com/SQISign/the-sqisign@91e9e464fe5400192d13e1f9240cbf180200a103
#   schemes/uov/ref: https://github.com/pqov/pqov.git@49dc53c09717763759911c47c7e4c8000fda1cc5
#   schemes/sdith2: https://sdith.org/docs/sdith-package-v2.zip
#
scheme                        keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                        ------------  -----------      ----------   ---------    ------------  ----------
ML-DSA-44                            39034        26.1           90486        60.4           40045        26.8
ML-DSA-65                            65744        43.9          148757        99.4           65163        43.5
ML-DSA-87                            97108        64.9          175004       116.9           95936        64.1
SLH-DSA-SHA2-128s                 99860182     66681.6       794913806    530804.2          803962       536.9
SLH-DSA-SHAKE-128s               148582087     99215.6      1228591795    820392.3         1040376       694.7
SLH-DSA-SHA2-128f                  1449830       968.2        33424188     22319.0         2131593      1423.4
SLH-DSA-SHAKE-128f                 2708554      1808.7        61898361     41332.6         3754734      2507.3
SLH-DSA-SHA2-192s                156600867    104570.2      1479105480    987672.8          941910       629.0
SLH-DSA-SHAKE-192s               247090371    164995.0      2184438871   1458658.5         2160329      1442.6
SLH-DSA-SHA2-192f                  2375375      1586.2        63958191     42708.1         3432096      2291.8
SLH-DSA-SHAKE-192f                 3275743      2187.4        90084710     60154.2         4862565      3247.0
SLH-DSA-SHA2-256s                 97559202     65146.3      1163401996    776861.8         1271181       848.9
SLH-DSA-SHAKE-256s               149539751     99856.1      2026051716   1352896.1         3474562      2320.2
SLH-DSA-SHA2-256f                  6349255      4239.7       132413759     88419.2         3608191      2409.4
SLH-DSA-SHAKE-256f                10156344      6781.9       211484756    141219.0         5624587      3755.8
FN-DSA-512                         4974586      3321.8          308023       205.7           31767        21.2
FN-DSA-1024                       18787806     12545.6          635750       424.5           62255        41.6
RSA-2048 (PSS)                    51643907     34485.2         1243858       830.6           31369        21.0
RSA-3072 (PSS)                   215369644    143813.2         3796878      2535.4           78850        52.7
RSA-4096 (PSS)                   534258627    356751.4         7860177      5248.9          132062        88.2
ECDSA-P256 (SHA-256)                 27418        18.3           41259        27.6          122421        81.8
ECDSA-P384 (SHA-384)               1029984       688.0         1056269       705.3          903506       603.3
ECDSA-P521 (SHA-512)               2321622      1550.3         2448756      1635.2         1945082      1298.9
Ed25519                              59736        39.9           59153        39.5          156060       104.2
Ed448                               252596       168.7          257865       172.2          226464       151.2
HAWK-512                           2264758      1512.3           36034        24.1           42577        28.4
HAWK-1024                         14020279      9362.1           84756        56.6           96469        64.4
MAYO-one                            117846        78.7          348644       232.8          154740       103.4
MAYO-two (broken)                    75676        50.6          184218       123.0           32135        21.5
MAYO-three                          288110       192.4          738438       493.1          332724       222.2
MAYO-five                           594466       397.0         1508341      1007.4          642619       429.2
FAEST-128s                            1231         0.8        69767644     46587.5        61460574     41040.5
FAEST-128f                             735         0.5        23204092     15494.5        18810933     12561.1
FAEST-EM-128s                         1297         0.9        25996017     17359.1        20415963     13633.0
FAEST-EM-128f                          358         0.2        16337876     10909.7        11476216      7663.3
FAEST-192s                            2186         1.4       258621098    172694.7       213335119    142454.9
FAEST-192f                            1311         0.9       108141662     72211.7        78642406     52513.7
FAEST-EM-192s                        49260        32.9        92997420     62099.2        67822272     45288.7
FAEST-EM-192f                        55388        37.0        64984072     43393.2        45278621     30234.9
FAEST-256s                            2235         1.4       426322173    284677.1       390337245    260648.2
FAEST-256f                            2506         1.6       144358599     96396.1       115494609     77122.1
FAEST-EM-256s                        89333        59.7       158653662    105941.4       123928764     82753.9
