# pq-sigs benchmark results
# date:         2026-05-26T15:08:05Z
# host:         development
# os:           Debian GNU/Linux 13 (trixie)
# kernel:       6.19.11-zabbly+
# cpu:          12th Gen Intel(R) Core(TM) i7-12650H
# cores:        8 (threads/core: 2)
# max_freq_mhz: 4600 (cur: 2191 MHz)
# governor:     powersave
# turbo:        enabled
# flags:        fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush dts acpi mmx fxsr sse sse2 ss ht tm pbe syscall nx pdpe1gb rdtscp lm constant_tsc art arch_perfmon pebs bts rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq dtes64 monitor ds_cpl vmx smx est tm2 ssse3 sdbg fma cx16 xtpr pdcm pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand lahf_lm abm 3dnowprefetch cpuid_fault epb ssbd ibrs ibpb stibp ibrs_enhanced tpr_shadow flexpriority ept vpid ept_ad fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid rdseed adx smap clflushopt clwb intel_pt sha_ni xsaveopt xsavec xgetbv1 xsaves split_lock_detect user_shstk avx_vnni dtherm ida arat pln pts hwp hwp_notify hwp_act_window hwp_epp hwp_pkg_req hfi vnmi umip pku ospke waitpkg gfni vaes vpclmulqdq rdpid movdiri movdir64b fsrm md_clear serialize arch_lbr ibt flush_l1d arch_capabilities
#
# compiler:     cc (Debian 14.2.0-19) 14.2.0
# openssl:      OpenSSL 3.6.2 7 Apr 2026 (Library: OpenSSL 3.6.2 7 Apr 2026)
# sources:
#   schemes/faest/ref: https://github.com/faest-sign/faest-ref@77caab6dc19685adfc1197547dc21efd9940fa8c
#   schemes/fndsa/ref: https://github.com/pornin/c-fn-dsa@33026d4d2734049a23f065f77eea11c35de58d76
#   schemes/hawk/ref: https://github.com/hawk-sign/dev@1b9fef52559273fe7b40fe3e22968eaedd3a4c2a
#   schemes/mayo/ref: https://github.com/PQCMayo/MAYO-C@4108b71d416ce5947398b48b8abcb2a8c6803f3b
#   schemes/mldsa/ref: https://github.com/pq-crystals/dilithium.git@6e00625c5b29f516c6de973fe2ee2fbb150973f9
#   schemes/mqom/ref: https://github.com/mqom/mqom-v2@9a5a4d5137c0c9e7974eb8879aa7f13fa6c8ab4d
#   schemes/qruov/ref: https://github.com/qruov/round2.git@787f8dba4c158f713d3351e7531edbec4afddf97
#   schemes/sdith/ref: https://github.com/sdith/sdith@fff41ae5b12ba3c6b90d8f97b2ede57aa277a92f
#   schemes/slhdsa/ref: https://github.com/pq-code-package/slhdsa-c@fac08b7d0a93849de0ee163c63712395e012b38c
#   schemes/snova/ref: https://github.com/PQCLAB-SNOVA/SNOVA.git@9da14981336ede257c41ef53cc069989051e8181
#   schemes/sqisign/ref: https://github.com/SQISign/the-sqisign@91e9e464fe5400192d13e1f9240cbf180200a103
#   schemes/uov/ref: https://github.com/pqov/pqov.git@49dc53c09717763759911c47c7e4c8000fda1cc5
#   schemes/sdith2: https://sdith.org/docs/sdith-package-v2.zip
#
scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                       -----    ------------  -----------      ----------   ---------    ------------  ----------
ML-DSA-44                     1000           39367        26.3           88138        58.9           40697        27.2
ML-DSA-65                     1000           65594        43.8          139627        93.2           65281        43.6
ML-DSA-87                     1000          106047        70.8          191701       128.0          105443        70.4
SLH-DSA-SHA2-128s               50        97309305     64978.4       769223234    513648.9          765961       511.5
SLH-DSA-SHAKE-128s              50       170101201    113585.5      1283057866    856761.8         1263169       843.5
SLH-DSA-SHA2-128f               50         1561050      1042.4        38159890     25481.3         2270739      1516.3
SLH-DSA-SHAKE-128f              50         2503234      1671.6        61054251     40769.2         3633632      2426.4
SLH-DSA-SHA2-192s               50       152894586    102095.6      1472917143    983540.1         1202810       803.2
SLH-DSA-SHAKE-192s              50       255418363    170555.8      2299948206   1535789.9         1867845      1247.3
SLH-DSA-SHA2-192f               50         2408117      1608.1        65490787     43731.6         3419642      2283.5
SLH-DSA-SHAKE-192f              50         3661774      2445.2        91416935     61043.8         4880673      3259.1
SLH-DSA-SHA2-256s               50        92965653     62078.4      1248425503    833636.2         1510503      1008.7
SLH-DSA-SHAKE-256s              50       164147293    109609.6      2003112784   1337578.4         2786188      1860.5
SLH-DSA-SHA2-256f               50         6655186      4444.1       135306308     90351.1         3550632      2371.0
SLH-DSA-SHAKE-256f              50        10617287      7089.7       212469162    141876.3         5591751      3733.9
FN-DSA-512                    1000         4899286      3271.5          306739       204.9           31741        21.2
FN-DSA-1024                   1000        18570324     12400.3          621763       415.2           60488        40.4
RSA-2048 (PSS)                 200        62767911     41913.2         1363319       910.3           34598        23.1
RSA-3072 (PSS)                  50       224580247    149963.7         3623303      2419.6           77959        52.1
RSA-4096 (PSS)                  50       852844453    569486.9         7824984      5225.3          114458        76.5
ECDSA-P256 (SHA-256)          1000           20037        13.4           29152        19.5           86709        57.9
ECDSA-P384 (SHA-384)          1000          833057       556.3          857939       572.9          740979       494.8
ECDSA-P521 (SHA-512)          1000         2347824      1567.8         2446284      1633.5         1957812      1307.4
Ed25519                       1000           61549        41.1           61297        41.0          162296       108.4
Ed448                         1000          341250       227.9          347166       231.8          289891       193.6
HAWK-512                      1000         2358861      1575.1           45138        30.2           42323        28.3
HAWK-1024                     1000        14665151      9792.7          100940        67.4           94036        62.8
MAYO-one                      1000          117855        78.7          350619       234.2          156262       104.4
MAYO-two (broken)             1000           68135        45.5          168648       112.7           29891        20.0
MAYO-three                    1000          308823       206.4          805452       537.9          359887       240.4
MAYO-five                     1000          508062       339.3         1297002       866.1          568536       379.7
FAEST-128s                      50            1464         1.0        65646385     43835.8        58278784     38915.7
FAEST-128f                      50             752         0.5        23860123     15932.7        18779691     12540.4
FAEST-EM-128s                   50             682         0.5        26154847     17465.1        20547811     13720.8
FAEST-EM-128f                   50             618         0.4        16251736     10852.1        11865061      7923.0
FAEST-192s                      50            2631         1.7       271505751    181298.5       224494057    149906.5
FAEST-192f                      50            1392         0.9       105779351     70634.2        76935017     51373.4
FAEST-EM-192s                   50           49827        33.3        94706096     63240.1        70908293     47349.2
FAEST-EM-192f                   50           49202        32.9        63954962     42706.0        44483750     29704.1
FAEST-256s                      50            2319         1.5       425254951    283964.3       393501742    262761.1
