# pq-sigs benchmark results
# date:         2026-05-26T19:04:46Z
# host:         development
# os:           Debian GNU/Linux 13 (trixie)
# kernel:       6.19.11-zabbly+
# cpu:          12th Gen Intel(R) Core(TM) i7-12650H
# cores:        8 (threads/core: 2)
# max_freq_mhz: 4600 (cur: 2165 MHz)
# governor:     powersave
# turbo:        enabled
# flags:        fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush dts acpi mmx fxsr sse sse2 ss ht tm pbe syscall nx pdpe1gb rdtscp lm constant_tsc art arch_perfmon pebs bts rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq dtes64 monitor ds_cpl vmx smx est tm2 ssse3 sdbg fma cx16 xtpr pdcm pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand lahf_lm abm 3dnowprefetch cpuid_fault epb ssbd ibrs ibpb stibp ibrs_enhanced tpr_shadow flexpriority ept vpid ept_ad fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid rdseed adx smap clflushopt clwb intel_pt sha_ni xsaveopt xsavec xgetbv1 xsaves split_lock_detect user_shstk avx_vnni dtherm ida arat pln pts hwp hwp_notify hwp_act_window hwp_epp hwp_pkg_req hfi vnmi umip pku ospke waitpkg gfni vaes vpclmulqdq rdpid movdiri movdir64b fsrm md_clear serialize arch_lbr ibt flush_l1d arch_capabilities
#
# compiler:     cc (Debian 14.2.0-19) 14.2.0
# openssl:      OpenSSL 3.6.2 7 Apr 2026 (Library: OpenSSL 3.6.2 7 Apr 2026)
# sources:
#   schemes/faest/ref: https://github.com/faest-sign/faest-arch-opt@09b2ffbcd7a5fc3fbf931c9480d443056f79dfdd
#   schemes/fndsa/ref: https://github.com/pornin/c-fn-dsa@33026d4d2734049a23f065f77eea11c35de58d76
#   schemes/hawk/ref: https://github.com/hawk-sign/dev@1b9fef52559273fe7b40fe3e22968eaedd3a4c2a
#   schemes/mayo/ref: https://github.com/PQCMayo/MAYO-C@4108b71d416ce5947398b48b8abcb2a8c6803f3b
#   schemes/mldsa/ref: https://github.com/pq-crystals/dilithium.git@6e00625c5b29f516c6de973fe2ee2fbb150973f9
#   schemes/mqom/ref: https://github.com/mqom/mqom-v2@9a5a4d5137c0c9e7974eb8879aa7f13fa6c8ab4d
#   schemes/qruov/ref: https://github.com/qruov/round2.git@787f8dba4c158f713d3351e7531edbec4afddf97
#   schemes/sdith/ref: https://github.com/sdith/sdith@fff41ae5b12ba3c6b90d8f97b2ede57aa277a92f
#   schemes/slhdsa/ref: https://github.com/pq-code-package/slhdsa-c@fac08b7d0a93849de0ee163c63712395e012b38c
#   schemes/snova/ref: https://github.com/PQCLAB-SNOVA/SNOVA.git@9da14981336ede257c41ef53cc069989051e8181
#   schemes/sqisign/ref: https://github.com/SQISign/the-sqisign@91e9e464fe5400192d13e1f9240cbf180200a103
#   schemes/uov/ref: https://github.com/pqov/pqov.git@49dc53c09717763759911c47c7e4c8000fda1cc5
#   schemes/sdith2: https://sdith.org/docs/sdith-package-v2.zip
#
scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                       -----    ------------  -----------      ----------   ---------    ------------  ----------
ML-DSA-44                     1000           35795        23.9           79366        53.0           36812        24.6
ML-DSA-65                     1000           57180        38.2          126265        84.3           56599        37.8
ML-DSA-87                     1000           97319        65.0          176872       118.2           95895        64.0
SLH-DSA-SHA2-128s               50       102125096     68194.1       775465058    517817.2          831023       555.0
SLH-DSA-SHAKE-128s              50       167913041    112124.0      1311725446    875904.9         1298506       867.1
SLH-DSA-SHA2-128f               50         1496337       999.3        35931812     23993.5         2091177      1396.5
SLH-DSA-SHAKE-128f              50         2696396      1800.5        64161670     42844.0         3887082      2595.6
SLH-DSA-SHA2-192s               50       152695749    101962.8      1451861123    969480.9         1180903       788.6
SLH-DSA-SHAKE-192s              50       254458285    169914.9      2284420334   1525421.7         1872191      1250.2
SLH-DSA-SHA2-192f               50         2295504      1532.9        60359188     40304.9         3272484      2185.2
SLH-DSA-SHAKE-192f              50         3958841      2643.5        93978666     62754.2         5312735      3547.5
SLH-DSA-SHA2-256s               50        99599257     66507.4      1289862183    861305.8         1613246      1077.3
SLH-DSA-SHAKE-256s              50       168164501    112292.2      2038295238   1361071.9         2751784      1837.5
SLH-DSA-SHA2-256f               50         6588425      4399.5       133751503     89313.2         3631227      2424.8
SLH-DSA-SHAKE-256f              50        10933932      7301.4       219062770    146280.1         5787218      3864.5
FN-DSA-512                    1000         5049169      3371.7          316833       211.6           33253        22.2
FN-DSA-1024                   1000        19252017     12855.7          649071       433.4           62134        41.5
RSA-2048 (PSS)                 200        61309856     40940.1         1366953       912.8           35066        23.4
RSA-3072 (PSS)                  50       266690394    178082.8         3367328      2248.6           63464        42.4
RSA-4096 (PSS)                  50       677547146    452432.3         7880759      5262.5          117992        78.8
ECDSA-P256 (SHA-256)          1000           23928        16.0           35491        23.7          106240        71.0
ECDSA-P384 (SHA-384)          1000          948537       633.4          979107       653.8          830573       554.7
ECDSA-P521 (SHA-512)          1000         2383142      1591.4         2492397      1664.3         1995240      1332.4
Ed25519                       1000           53997        36.1           54026        36.1          143802        96.0
Ed448                         1000          322972       215.7          329412       220.0          271159       181.1
HAWK-512                      1000         2315919      1546.5           36455        24.4           42476        28.4
HAWK-1024                     1000        15586545     10407.9           88921        59.4          101514        67.8
MAYO-one                      1000          118707        79.3          349066       233.1          156880       104.8
MAYO-two (broken)             1000           65857        44.0          160288       107.0           28829        19.3
MAYO-three                    1000          280049       187.0          743237       496.3          324754       216.9
MAYO-five                     1000          514065       343.3         1304878       871.4          558275       372.8
FAEST-128s                     200             517         0.3         6698573      4473.0         5442163      3634.1
FAEST-128f                    1000             284         0.2          883854       590.2          716100       478.2
FAEST-EM-128s                  200             543         0.4         4100552      2738.2         3511201      2344.8
FAEST-EM-128f                 1000             250         0.2          616840       411.9          508254       339.4
FAEST-192s                     100            1299         0.9        28917525     19309.8        24145523     16123.4
FAEST-192f                    1000             664         0.4         3515881      2347.7         3216691      2148.1
FAEST-EM-192s                  100            1508         1.0        20583999     13745.2        19722485     13169.8
FAEST-EM-192f                 1000             627         0.4         2394325      1598.9         2255154      1505.9
FAEST-256s                      50            1736         1.1        35856257     23943.4        36206045     24176.7
