# pq-sigs benchmark results
# date:         2026-06-26T13:51:07Z
# host:         development
# os:           Debian GNU/Linux 13 (trixie)
# kernel:       6.19.11-zabbly+
# cpu:          12th Gen Intel(R) Core(TM) i7-12650H
# cores:        8 (threads/core: 2)
# max_freq_mhz: 4600 (cur: 2599 MHz)
# governor:     powersave
# turbo:        enabled
# flags:        fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush dts acpi mmx fxsr sse sse2 ss ht tm pbe syscall nx pdpe1gb rdtscp lm constant_tsc art arch_perfmon pebs bts rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq dtes64 monitor ds_cpl vmx smx est tm2 ssse3 sdbg fma cx16 xtpr pdcm pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand lahf_lm abm 3dnowprefetch cpuid_fault epb ssbd ibrs ibpb stibp ibrs_enhanced tpr_shadow flexpriority ept vpid ept_ad fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid rdseed adx smap clflushopt clwb intel_pt sha_ni xsaveopt xsavec xgetbv1 xsaves split_lock_detect user_shstk avx_vnni dtherm ida arat pln pts hwp hwp_notify hwp_act_window hwp_epp hwp_pkg_req hfi vnmi umip pku ospke waitpkg gfni vaes vpclmulqdq rdpid movdiri movdir64b fsrm md_clear serialize arch_lbr ibt flush_l1d arch_capabilities
#
# compiler:     cc (Debian 14.2.0-19) 14.2.0
# openssl:      OpenSSL 3.6.2 7 Apr 2026 (Library: OpenSSL 3.6.2 7 Apr 2026)
# sources:
#   schemes/faest/ref: https://github.com/faest-sign/faest-arch-opt@09b2ffbcd7a5fc3fbf931c9480d443056f79dfdd
#   schemes/fndsa/ref: https://github.com/pornin/c-fn-dsa@33026d4d2734049a23f065f77eea11c35de58d76
#   schemes/hawk/ref: https://github.com/hawk-sign/dev@1b9fef52559273fe7b40fe3e22968eaedd3a4c2a
#   schemes/mayo/ref: https://github.com/PQCMayo/MAYO-C@4108b71d416ce5947398b48b8abcb2a8c6803f3b
#   schemes/mldsa/ref: https://github.com/pq-crystals/dilithium.git@6e00625c5b29f516c6de973fe2ee2fbb150973f9
#   schemes/mqom/ref: https://github.com/mqom/mqom-v2@9a5a4d5137c0c9e7974eb8879aa7f13fa6c8ab4d
#   schemes/qruov/ref: https://github.com/qruov/round2.git@787f8dba4c158f713d3351e7531edbec4afddf97
#   schemes/sdith/ref: https://github.com/sdith/sdith@fff41ae5b12ba3c6b90d8f97b2ede57aa277a92f
#   schemes/slhdsa/ref: https://github.com/pq-code-package/slhdsa-c@fac08b7d0a93849de0ee163c63712395e012b38c
#   schemes/snova/ref: https://github.com/PQCLAB-SNOVA/SNOVA.git@9da14981336ede257c41ef53cc069989051e8181
#   schemes/sqisign/ref: https://github.com/SQISign/the-sqisign@91e9e464fe5400192d13e1f9240cbf180200a103
#   schemes/uov/ref: https://github.com/pqov/pqov.git@49dc53c09717763759911c47c7e4c8000fda1cc5
#   schemes/sdith2: https://sdith.org/docs/sdith-package-v2.zip
#
# cyclecounter: rdpmc CPU_CYCLES (real core cycles, user-space)
scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                       -----    ------------  -----------      ----------   ---------    ------------  ----------
ML-DSA-44                     1000           73064        26.5          172926        61.9           76028        27.2
ML-DSA-65                     1000          125011        46.7          293694       107.5          124851        46.1
ML-DSA-87                     1000          198450        73.9          368956       136.0          197511        73.0
SLH-DSA-SHA2-128s               50       228937036     77514.6      1757695021    605117.5         1755199       627.5
SLH-DSA-SHAKE-128s              50       362725526    123917.6      2781232192    955962.8         2682410       912.7
SLH-DSA-SHA2-128f               50         3535445      1277.9        84091866     31548.0         5002206      1818.3
SLH-DSA-SHAKE-128f              50         5611579      1851.8       132061616     43140.7         7784088      2486.9
SLH-DSA-SHA2-192s               50       327735924    107623.1      3083479121   1042811.9         2561893       844.1
SLH-DSA-SHAKE-192s              50       523224321    173810.9      4822427418   1608262.9         3904998      1316.0
SLH-DSA-SHA2-192f               50         5121467      1881.8       136350929     47162.4         7363526      2862.9
SLH-DSA-SHAKE-192f              50         8205475      3111.3       214663291     81882.6        11497969      4403.9
SLH-DSA-SHA2-256s               50       215596045     73835.8      2735757503    929979.6         3731723      1250.3
SLH-DSA-SHAKE-256s              50       348404884    117326.0      4330961130   1465910.6         5790077      1908.8
SLH-DSA-SHA2-256f               50        13482611      4727.9       279083211     95392.8         7497516      2505.5
SLH-DSA-SHAKE-256f              50        21790009      7182.5       446121557    148323.1        11678446      3950.7
FN-DSA-512                    1000         9722653      3555.6          623227       224.4           65140        23.3
FN-DSA-1024                   1000        36002908     13076.6         1253155       448.2          124210        44.9
RSA-2048 (PSS)                 200       119750766     41035.6         2903455       981.4           79790        27.0
RSA-3072 (PSS)                  50       334019587    106368.2         7763486      2539.5          154936        53.3
RSA-4096 (PSS)                  50      1390118157    458229.2        16508195      5286.7          248674        80.9
ECDSA-P256 (SHA-256)          1000           53628        24.6           79393        36.3          235386       107.2
ECDSA-P384 (SHA-384)          1000         2066281       729.6         2130694       754.1         1838032       647.7
ECDSA-P521 (SHA-512)          1000         4881927      1681.1         5132310      1762.8         4095888      1395.8
Ed25519                       1000          126344        42.1          126662        42.0          334852       110.6
Ed448                         1000          671571       192.6          680614       194.9          553205       165.2
HAWK-512                      1000         4523052      1647.5           77315        26.8           90728        31.6
HAWK-1024                     1000        32849928      9789.4          167180        58.6          190604        67.0
MAYO-one                      1000          235697        84.2          690513       244.0          312615       110.9
MAYO-two (broken)             1000          137347        49.8          337887       120.7           59957        21.5
MAYO-three                    1000          558678       186.5         1485370       496.9          652784       217.7
MAYO-five                     1000         1168597       389.6         2972563       999.4         1276019       425.8
FAEST-128s                     200             943         0.3        12137085      4911.9        10187701      4025.7
FAEST-128f                    1000             482         0.2         1705261       594.4         1412179       488.0
FAEST-EM-128s                  200            1086         0.3         8598281      2962.5         7071094      2416.4
FAEST-EM-128f                 1000             453         0.2         1273002       546.5         1053836       458.3
FAEST-192s                     100            3633         1.2        51696156     19143.4        43309329     16295.9
FAEST-192f                    1000            1445         0.5         7053069      2467.6         6467760      2271.4
FAEST-EM-192s                  100            2922         1.0        37063533     14333.7        34731813     13520.8
FAEST-EM-192f                 1000            1522         0.5         4793214      1688.1         4497807      1570.0
FAEST-256s                      50            5019         1.7        73588634     28337.9        73852113     28848.9
FAEST-256f                     500            1585         0.5        10159220      3407.5         9913639      3324.3
FAEST-EM-256s                   50            4780         1.8        60646508     22089.4        59153393     20692.4
FAEST-EM-256f                  500            1833         0.7         8620955      2999.0         8449408      2956.0
SDitH-Hypercube-L1-GF256        50        12112186      4281.8        13499640      4834.8        12728719      4429.1
SDitH-Hypercube-L1-P251         50         8331099      2934.9        23181809      8111.7        22339604      7792.4
SDitH-Hypercube-L3-GF256        50        14364496      4770.6        32014600     10088.1        29650252      9260.3
SDitH-Hypercube-L3-P251         50        10079431      3852.9        50896914     19187.4        48850608     18101.2
SDitH-Hypercube-L5-GF256        50        24765392      8975.1        61875297     21284.3        57736851     20249.0
SDitH-Hypercube-L5-P251         50        17416768      6232.1        93269769     33800.3        89480731     32351.2
SDitH-Threshold-L1-GF256        50         4436875      1403.6        39811293     11999.6         5953350      1890.8
SDitH-Threshold-L1-P251         50         1944619       676.5         5535055      1908.9          639925       216.5
SDitH-Threshold-L3-GF256        50         5585916      2100.0       104393777     38940.1        19334930      7200.3
SDitH-Threshold-L3-P251         50         2469906       898.5        13058338      4870.3         1560006       588.7
SDitH-Threshold-L5-GF256        50         9745913      3820.4       198025694     76023.4        44321321     16962.6
SDitH-Threshold-L5-P251         50         4326903      1521.4        28772141     10272.2         3377626      1205.7
SDitH2-L1-gf2-short             50         1403680       460.7        31642780     10712.4        29149926      9334.3
SDitH2-L1-gf2-fast              50         1388083       509.8         9320513      3525.4         8615668      3206.8
SDitH2-L3-gf2-short             50         5019090      1681.7       191873581     63764.8       184836695     61653.7
SDitH2-L3-gf2-fast              50         4879377      1652.0        28762901      9945.7        26868817      9321.2
SDitH2-L5-gf2-short             50         7451746      2553.6       272412039     93789.3       262117339     89577.6
