# pq-sigs benchmark results
# date:         2026-09-18T14:25:28Z
# host:         ip-172-31-5-75
# os:           Ubuntu 26.04.1 LTS
# kernel:       7.0.0-1012-aws
# cpu:          Intel(R) Xeon(R) Platinum 8488C
# cores:        16 (threads/core: 2)
# max_freq_mhz: unknown (cur: unknown MHz)
# governor:     unknown
# turbo:        unknown
# flags:        fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc arch_perfmon rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq monitor ssse3 fma cx16 pdcm pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch cpuid_fault ssbd ibrs ibpb stibp ibrs_enhanced fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx_vnni avx512_bf16 wbnoinvd ida arat avx512vbmi umip pku ospke waitpkg avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg tme avx512_vpopcntdq rdpid cldemote movdiri movdir64b md_clear serialize amx_bf16 avx512_fp16 amx_tile amx_int8 flush_l1d arch_capabilities
#
# compiler:     cc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
# openssl:      OpenSSL 3.5.5 27 Jan 2026 (Library: OpenSSL 3.5.5 27 Jan 2026)
# sources:
#   schemes/faest/ref: https://github.com/faest-sign/faest-arch-opt@09b2ffbcd7a5fc3fbf931c9480d443056f79dfdd
#   schemes/fndsa/ref: https://github.com/pornin/c-fn-dsa@33026d4d2734049a23f065f77eea11c35de58d76
#   schemes/hawk/ref: https://github.com/hawk-sign/dev@1b9fef52559273fe7b40fe3e22968eaedd3a4c2a
#   schemes/mayo/ref: https://github.com/PQCMayo/MAYO-C@4108b71d416ce5947398b48b8abcb2a8c6803f3b
#   schemes/mldsa/ref: https://github.com/pq-crystals/dilithium.git@6e00625c5b29f516c6de973fe2ee2fbb150973f9
#   schemes/mqom/ref: https://github.com/mqom/mqom-v2@9a5a4d5137c0c9e7974eb8879aa7f13fa6c8ab4d
#   schemes/qruov/ref: https://github.com/qruov/round2.git@787f8dba4c158f713d3351e7531edbec4afddf97
#   schemes/sdith/ref: https://github.com/sdith/sdith@fff41ae5b12ba3c6b90d8f97b2ede57aa277a92f
#   schemes/slhdsa/ref: https://github.com/pq-code-package/slhdsa-c@fac08b7d0a93849de0ee163c63712395e012b38c
#   schemes/snova/ref: https://github.com/PQCLAB-SNOVA/SNOVA.git@9da14981336ede257c41ef53cc069989051e8181
#   schemes/sqisign/ref: https://github.com/SQISign/the-sqisign@91e9e464fe5400192d13e1f9240cbf180200a103
#   schemes/uov/ref: https://github.com/pqov/pqov.git@49dc53c09717763759911c47c7e4c8000fda1cc5
#   schemes/sdith2: https://sdith.org/docs/sdith-package-v2.zip
#
# cyclecounter: rdpmc CPU_CYCLES (real core cycles, user-space)
scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                       -----    ------------  -----------      ----------   ---------    ------------  ----------
ML-DSA-44                     1000           73899        20.9          169385        46.1           77829        21.6
ML-DSA-65                     1000          127098        34.9          282435        76.0          127530        34.7
ML-DSA-87                     1000          200134        54.1          360984        96.7          201456        54.2
SLH-DSA-SHA2-128s               50       199790770     52949.8      1523642066    403853.9         1523536       405.3
SLH-DSA-SHAKE-128s              50       266855214     70722.9      2075983623    550200.1         2104868       556.9
SLH-DSA-SHA2-128f               50         3123779       829.3        73173919     19393.4         4406907      1170.7
SLH-DSA-SHAKE-128f              50         4247047      1126.0        99624125     26420.2         5956776      1581.5
SLH-DSA-SHA2-192s               50       296598244     78606.6      2742793314    726956.3         2293549       610.6
SLH-DSA-SHAKE-192s              50       390588326    103521.5      3684086453    976415.8         2987473       795.4
SLH-DSA-SHA2-192f               50         4637978      1228.4       121895373     32305.4         6556200      1738.9
SLH-DSA-SHAKE-192f              50         6149352      1631.6       163568460     43348.2         8674439      2302.9
SLH-DSA-SHA2-256s               50       193532487     51290.0      2403796185    637115.6         3275923       872.8
SLH-DSA-SHAKE-256s              50       272158254     72125.3      3441691592    912172.6         4556696      1209.0
SLH-DSA-SHA2-256f               50        12097917      3206.8       246934576     65451.1         6596319      1750.9
SLH-DSA-SHAKE-256f              50        16807060      4455.5       347678183     92139.4         9031655      2393.8
FN-DSA-512                    1000         9457779      2526.2          599236       162.7           60541        19.1
FN-DSA-1024                   1000        35530529      9438.6         1190042       319.3          113072        32.9
RSA-2048 (PSS)                 200       125464304     33430.6         1900646       524.4           72382        21.6
RSA-3072 (PSS)                  50       512324852    136734.4         4366154      1192.0          145706        39.6
RSA-4096 (PSS)                  50      1026557798    273666.8         8092242      2181.8          240013        64.3
ECDSA-P256 (SHA-256)          1000           54791        15.7           79961        22.3          237318        63.7
ECDSA-P384 (SHA-384)          1000          465252       124.7          605960       162.2         1379086       368.3
ECDSA-P521 (SHA-512)          1000          443699       118.7          772628       206.2         1469795       392.8
Ed25519                       1000          123752        33.9          123701        33.8          333186        89.1
Ed448                         1000          503216       134.4          510735       136.2          651803       173.2
HAWK-512                      1000         4380172      1181.6           78525        21.8           88785        24.5
HAWK-1024                     1000        19962659      5345.4          184361        51.2          183188        50.7
MAYO-one                      1000          237593        63.8          668264       179.5          284905        77.4
MAYO-two (broken)             1000          149363        40.5          338917        91.6           59346        16.8
MAYO-three                    1000          536717       142.6         1402602       375.8          640184       171.5
MAYO-five                     1000         1118652       299.8         2866750       766.7         1244780       333.0
FAEST-128s                     200            2932         1.9        10057387      3047.9         8796878      2690.9
FAEST-128f                    1000            1073         1.4         1298427       347.5         1132732       303.7
FAEST-EM-128s                  200            1921         1.6         6842742      1826.2         6066340      1618.6
FAEST-EM-128f                 1000            1083         1.4         1003191       268.6          850193       226.9
FAEST-192s                     100            3868         2.1        38830563     11476.7        35018438     10413.0
FAEST-192f                    1000            1767         1.6         5616580      1500.9         5195583      1384.5
FAEST-EM-192s                  100            4381         2.3        29674944      8985.2        27968422      8542.9
FAEST-EM-192f                 1000            2187         1.7         3827495      1021.9         3549454       946.8
FAEST-256s                      50            4371         2.2        57967321     17664.8        57811034     17614.1
FAEST-256f                     500            2829         1.8         7985544      2134.7         7763162      2073.5
FAEST-EM-256s                   50            3643         2.1        46862254     12535.2        45594027     12201.8
FAEST-EM-256f                  500            3168         1.9         6853704      1833.6         6705604      1792.4
SDitH-Hypercube-L1-GF256        50        11353131      3011.3        12583205      3355.4        11670352      3117.0
SDitH-Hypercube-L1-P251         50         7582948      2017.1        23571084      6307.3        22805968      6113.9
SDitH-Hypercube-L3-GF256        50        13325890      3563.5        29550591      7885.4        27105426      7245.2
SDitH-Hypercube-L3-P251         50         9224245      2453.0        50978373     13643.0        48682301     13048.5
SDitH-Hypercube-L5-GF256        50        23126565      6154.2        57322525     15281.5        53111904     14168.8
SDitH-Hypercube-L5-P251         50        15896462      4222.7        93773243     25153.7        89900594     24047.4
SDitH-Threshold-L1-GF256        50         3998069      1064.5        38860271     10364.8         5831221      1552.6
SDitH-Threshold-L1-P251         50         1563650       419.1         5579509      1488.5          683016       181.8
SDitH-Threshold-L3-GF256        50         5076285      1351.5       101003168     26947.6        18909915      5052.7
SDitH-Threshold-L3-P251         50         2029222       541.8        13324300      3566.2         1641745       439.4
SDitH-Threshold-L5-GF256        50         8840790      2353.6       191883465     51147.9        42750151     11409.5
SDitH-Threshold-L5-P251         50         3526900       936.2        28976667      7724.3         3486729       927.8
SDitH2-L1-gf2-short             50         1389784       370.9        30953039      8256.5        27872785      7442.0
SDitH2-L1-gf2-fast              50         1387137       372.9         9344711      2488.6         8405470      2239.5
SDitH2-L3-gf2-short             50         4748995      1266.6       186802656     49772.8       179284535     47814.5
SDitH2-L3-gf2-fast              50         4752577      1267.9        28957503      7729.7        26490763      7066.2
SDitH2-L5-gf2-short             50         7038384      1881.9       268676346     71719.6       256075165     68264.3
SDitH2-L5-gf2-fast              50         7004771      1864.1        42662763     11377.0        39721352     10572.8
SNOVA-24-5-16-4               1000          240619        64.5          540669       143.5          231601        62.1
SNOVA-28-5-19-4               1000          330214        88.2          526195       139.7          279979        74.9
SNOVA-48-17-16-2              1000         1448258       389.9         2082212       557.3          550358       146.5
SNOVA-48-16-19-2              1000         1774396       475.4         1129305       305.0          582338       154.8
SNOVA-28-4-16-4x5             1000          388567       103.5          924873       247.5          564039       149.6
SNOVA-28-4-19-4x5             1000          438273       116.5          934779       248.3          357866        95.4
SNOVA-40-7-19-4               1000         1082673       290.5         1458050       391.7          751142       199.5
SNOVA-37-8-16-4               1000         1207650       323.5         2462627       658.3          822123       218.2
SNOVA-72-25-16-2              1000         6305963      1685.9         8095570      2189.8         1931399       518.8
SNOVA-38-5-16-4x5             1000          743851       197.0         1924654       514.1         1288060       346.4
SNOVA-38-5-19-4x5             1000         1277485       344.4         2014630       539.7          835090       222.5
SNOVA-50-9-19-4               1000         2551414       682.4         3073894       825.0         1529254       412.8
SNOVA-60-10-16-4              1000         4451836      1187.0         7551567      2033.6         2496665       671.0
SNOVA-97-33-16-2              1000        19237078      5153.7        23337755      6308.2         4641846      1245.1
UOV-Ip-pkc                     100         2087339       557.5           72062        20.2          153427        41.6
UOV-Ip-classic                 100         2106626       562.8           71899        20.1           72825        20.4
UOV-Is-pkc                     100         3057657       820.1           72982        20.5          170376        46.2
UOV-Is-classic                 100         3021184       804.3           72904        20.4           48410        14.0
UOV-III-pkc                     50        11886998      3178.5          220473        59.9          638806       173.4
UOV-III-classic                 50        11694941      3134.1          217302        58.8          210664        57.6
UOV-V-pkc                       50        31567417      8449.9          458761       124.1         1345477       365.7
UOV-V-classic                   50        31078168      8310.7          446412       120.3          468459       126.0
QR-UOV-I-(127,156,54,3)        200        32122785      8562.2         5336050      1417.6         4645078      1235.2
QR-UOV-I-(31,165,60,3)         200        48884572     13037.2         7632345      2030.6         6633890      1764.3
QR-UOV-I-(31,600,70,10)        200       148911297     39692.8        37279071      9940.7        36237968      9663.2
QR-UOV-I-(7,740,100,10)        200       514252303    137088.4       102768930     27401.2        98254774     26197.4
QR-UOV-III-(127,228,78,3)      100       153470718     40907.5        18071601      4811.0        15714763      4188.9
QR-UOV-III-(31,246,87,3)       100       215321374     57378.6        25567305      6810.7        22505189      5999.6
QR-UOV-III-(31,890,100,10)     100       601563534    160303.3       118651589     31629.0       115721518     30845.0
QR-UOV-III-(7,1100,140,10)     100      2043298631    544686.5       323987675     86406.3       312196667     83218.2
QR-UOV-V-(127,306,105,3)        50       527325109    140514.8        44418231     11846.9        37244513      9918.9
QR-UOV-V-(31,324,114,3)         50       677462541    180660.7        58734756     15666.9        50147604     13378.1
QR-UOV-V-(31,1120,120,10)       50      1473548217    392981.9       237508482     63353.4       229840920     61312.5
QR-UOV-V-(7,1490,190,10)        50      6632097357   1768733.6       802974388    214175.3       756808457    201816.3
MQOM2-L1-gf2-fast-r3           200          541059       144.3         2296393       625.4         1972996       528.4
MQOM2-L1-gf2-fast-r5           200          542878       145.2         2305802       617.7         1979387       530.2
MQOM2-L1-gf2-short-r3          200          641584       171.1         5968555      1601.8         5097186      1363.6
MQOM2-L1-gf2-short-r5          200          645694       173.7         5715321      1537.8         4935414      1323.4
MQOM2-L1-gf16-fast-r3          200          184213        49.8         1822879       488.8         1469144       391.2
MQOM2-L1-gf16-fast-r5          200          184629        49.9         1583105       424.9         1275953       342.9
MQOM2-L1-gf16-short-r3         200          169208        45.8         6377073      1706.4         5488362      1464.2
MQOM2-L1-gf16-short-r5         200          172150        46.6         5357251      1430.4         4634765      1236.2
MQOM2-L1-gf256-fast-r3         200          128401        35.1         2145197       575.2         1569114       420.2
MQOM2-L1-gf256-fast-r5         200          127799        34.9         1783185       476.5         1348438       361.2
MQOM2-L1-gf256-short-r3        200          125104        34.2         7865752      2099.4         5281657      1408.5
MQOM2-L1-gf256-short-r5        200          124122        33.9         6023685      1616.2         4251696      1134.7
MQOM2-L3-gf2-fast-r3           100         3631888       970.3        11040744      2968.3        10636787      2848.9
MQOM2-L3-gf2-fast-r5           100         3630517       968.7        10886658      2928.3        10474812      2805.9
MQOM2-L3-gf2-short-r3          100         4391839      1176.3        29760526      7971.5        27161767      7269.5
MQOM2-L3-gf2-short-r5          100         4388745      1170.4        28004245      7549.7        26702376      7153.2
MQOM2-L3-gf16-fast-r3          100          814731       215.8         6962717      1854.2         6346973      1688.6
MQOM2-L3-gf16-fast-r5          100          814562       215.7         5958362      1588.2         5347280      1424.1
MQOM2-L3-gf16-short-r3         100          824892       224.6        28502356      7600.3        24033339      6398.4
MQOM2-L3-gf16-short-r5         100          824843       224.4        22661533      6050.9        19130164      5103.8
MQOM2-L3-gf256-fast-r3         100          775310       210.8         9362120      2493.7         8403838      2244.3
MQOM2-L3-gf256-fast-r5         100          772331       204.6         7390562      1968.3         6568333      1747.3
MQOM2-L3-gf256-short-r3        100          776925       211.7        37574552     10033.9        30439698      8106.7
MQOM2-L3-gf256-short-r5        100          776176       211.3        27287722      7283.7        22754614      6065.6
MQOM2-L5-gf2-fast-r3            50         5527874      1480.8        25455820      6824.5        24664124      6588.1
MQOM2-L5-gf2-fast-r5            50         5523229      1480.1        25050104      6706.2        23937891      6403.6
MQOM2-L5-gf2-short-r3           50         7073284      1895.6        46892724     12550.7        41855678     11183.5
MQOM2-L5-gf2-short-r5           50         7083372      1900.1        45239853     12107.6        40565704     10848.9
MQOM2-L5-gf16-fast-r3           50         1389586       371.9        10799517      2891.7         9377271      2502.4
MQOM2-L5-gf16-fast-r5           50         1397594       376.6         9689767      2591.3         8698670      2327.6
MQOM2-L5-gf16-short-r3          50         1414844       380.3        38313716     10232.0        32361835      8632.7
MQOM2-L5-gf16-short-r5          50         1414812       383.2        33741589      9010.4        28444192      7593.4
MQOM2-L5-gf256-fast-r3          50         1185731       315.7        14007098      3734.5        11648590      3107.5
MQOM2-L5-gf256-fast-r5          50         1203688       322.9        11539865      3080.2        10060242      2680.9
MQOM2-L5-gf256-short-r3         50         1193005       318.2        49958138     13336.7        38261820     10208.1
MQOM2-L5-gf256-short-r5         50         1191023       318.8        37852570     10109.0        29856425      7962.3
SQIsign-I                       50        66402450     17751.3       151296690     40390.5        10425965      2785.9
SQIsign-III                     50       171504397     45764.8       386791130    103170.2        28264504      7540.4
SQIsign-V                       50       295968251     79080.2       684554844    182699.8        56253004     15008.9

