# pq-sigs benchmark results
# date:         2026-09-18T15:33:34Z
# host:         ip-172-31-3-62
# os:           Ubuntu 26.04.1 LTS
# kernel:       7.0.0-1012-aws
# cpu:          Intel(R) Xeon(R) Platinum 8488C
# cores:        16 (threads/core: 2)
# max_freq_mhz: unknown (cur: unknown MHz)
# governor:     unknown
# turbo:        unknown
# flags:        fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc arch_perfmon rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq monitor ssse3 fma cx16 pdcm pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch cpuid_fault ssbd ibrs ibpb stibp ibrs_enhanced fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx_vnni avx512_bf16 wbnoinvd ida arat avx512vbmi umip pku ospke waitpkg avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg tme avx512_vpopcntdq rdpid cldemote movdiri movdir64b md_clear serialize amx_bf16 avx512_fp16 amx_tile amx_int8 flush_l1d arch_capabilities
#
# compiler:     cc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
# openssl:      OpenSSL 3.5.5 27 Jan 2026 (Library: OpenSSL 3.5.5 27 Jan 2026)
# sources:
#   schemes/faest/ref: https://github.com/faest-sign/faest-arch-opt@1d8330979cb467c54edac43ffe695da249fa3417
#   schemes/fndsa/ref: https://github.com/pornin/c-fn-dsa@33026d4d2734049a23f065f77eea11c35de58d76
#   schemes/hawk/ref: https://github.com/hawk-sign/dev@1b9fef52559273fe7b40fe3e22968eaedd3a4c2a
#   schemes/mayo/ref: https://github.com/PQCMayo/MAYO-C@74de637a7c4a7f9fafa888183bc05f5cf920cd2d
#   schemes/mldsa/ref: https://github.com/pq-crystals/dilithium.git@6e00625c5b29f516c6de973fe2ee2fbb150973f9
#   schemes/mqom/ref: https://github.com/mqom/mqom-v3@d9c64e386b186ee186684a0389fc32009bd67cd1
#   schemes/qruov/ref: https://github.com/qruov/round2.git@787f8dba4c158f713d3351e7531edbec4afddf97
#   schemes/sdith/ref: https://github.com/sdith/sdith@fff41ae5b12ba3c6b90d8f97b2ede57aa277a92f
#   schemes/sdith2/ref: https://github.com/sdith/sdith@ce7adf06476674d4ff990f378f83f9981cd6745b
#   schemes/slhdsa/ref: https://github.com/pq-code-package/slhdsa-c@fac08b7d0a93849de0ee163c63712395e012b38c
#   schemes/snova/ref: https://github.com/PQCLAB-SNOVA/SNOVA.git@9b29c1e332cbd85757c8d6362a57b9a8c8298a38
#   schemes/sqisign/ref: https://github.com/SQISign/the-sqisign@6d017708db403bf83977fa70770fc4f7f9e9ff21
#   schemes/uov/ref: https://github.com/pqov/pqov.git@fac2ec1fe6d8ea508eab4b98eb5341e1eed930a4
#
# cyclecounter: rdpmc CPU_CYCLES (real core cycles, user-space)
scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                       -----    ------------  -----------      ----------   ---------    ------------  ----------
ML-DSA-44                     1000           74226        21.0          175971        48.1           79414        22.0
ML-DSA-65                     1000          126867        34.8          280285        75.4          127560        34.7
ML-DSA-87                     1000          199623        54.0          363285        97.7          201108        54.1
SLH-DSA-SHA2-128s               50       199769327     52962.6      1523503483    404063.4         1520392       405.3
SLH-DSA-SHAKE-128s              50       270906895     71830.2      2106333354    559133.3         2116098       559.5
SLH-DSA-SHA2-128f               50         3123093       830.4        73161492     19399.0         4429736      1177.8
SLH-DSA-SHAKE-128f              50         4361524      1160.7       102530925     27189.1         6108856      1622.4
SLH-DSA-SHA2-192s               50       296566997     78623.4      2742417916    727531.2         2276007       606.1
SLH-DSA-SHAKE-192s              50       398674638    105749.5      3751463321    995433.9         3114918       825.2
SLH-DSA-SHA2-192f               50         4636862      1228.6       121883888     32317.8         6544637      1737.4
SLH-DSA-SHAKE-192f              50         6356336      1687.6       168843698     44762.2         8902966      2364.1
SLH-DSA-SHA2-256s               50       193487283     51306.2      2403473010    637726.0         3294098       880.2
SLH-DSA-SHAKE-256s              50       272376056     72250.3      3440988808    912735.3         4546814      1205.3
SLH-DSA-SHA2-256f               50        12097329      3209.0       246907922     65482.6         6622022      1757.4
SLH-DSA-SHAKE-256f              50        17048385      4522.6       351371231     93163.0         9115852      2416.8
FN-DSA-512                    1000         9453543      2524.2          600593       163.0           62066        19.5
FN-DSA-1024                   1000        35570224      9454.4         1192256       319.5          114708        33.3
RSA-2048 (PSS)                 200       131092245     35112.4         1901821       523.9           72147        20.2
RSA-3072 (PSS)                  50       387815446    103254.8         4363581      1179.7          145640        39.5
RSA-4096 (PSS)                  50      1359459442    361387.4         8077782      2164.5          239985        64.4
ECDSA-P256 (SHA-256)          1000           54796        15.7           79826        22.3          237588        63.7
ECDSA-P384 (SHA-384)          1000          465016       123.9          606502       161.3         1380296       366.9
ECDSA-P521 (SHA-512)          1000          443645       118.1          772014       204.8         1469115       390.8
Ed25519                       1000          123796        33.9          123479        33.7          333185        88.8
Ed448                         1000          503413       133.7          510222       135.4          651646       172.8
HAWK-512                      1000         4376489      1175.1           78880        21.9           89341        24.7
HAWK-1024                     1000        20014408      6251.7          184660        50.6          183320        50.6
MAYO-one                      1000          146265        39.7          440127       117.6          203111        56.6
MAYO-two                      1000          133086        36.2          212858        57.2           94345        26.0
MAYO-three                    1000          390810       104.0          948823       251.8          450885       119.8
MAYO-five                     1000          887823       234.8         1976908       525.8          939168       248.4
FAEST-128s                     200            3387         2.0         9897766      3009.9         8536610      2621.5
FAEST-128f                    1000            1078         1.4         1581966       423.4         1150536       307.8
FAEST-EM-128s                  200            2094         1.7         6763025      1800.3         5717788      1520.9
FAEST-EM-128f                 1000            1088         1.4         1314340       350.4          886860       234.8
FAEST-192s                     100            4644         2.3        40109670     11817.8        33119958      9924.8
FAEST-192f                    1000            1912         1.6         6787407      1818.3         5282614      1408.8
FAEST-EM-192s                  100            4543         2.3        27415285      8471.6        25819650      7981.0
FAEST-EM-192f                 1000            2078         1.6         4426941      1181.9         3348965       891.4
FAEST-256s                      50            5762         2.6        56136431     17269.4        54294183     16740.5
FAEST-256f                     500            3106         1.9         9565052      2569.1         7589750      2025.7
