# pq-sigs benchmark results
# date:         2026-09-18T17:16:42Z
# host:         ip-172-31-10-234
# os:           Ubuntu 26.04.1 LTS
# kernel:       7.0.0-1012-aws
# cpu:          Intel(R) Xeon(R) Platinum 8488C
# cores:        16 (threads/core: 2)
# max_freq_mhz: unknown (cur: unknown MHz)
# governor:     unknown
# turbo:        unknown
# flags:        fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc arch_perfmon rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq monitor ssse3 fma cx16 pdcm pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch cpuid_fault ssbd ibrs ibpb stibp ibrs_enhanced fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx_vnni avx512_bf16 wbnoinvd ida arat avx512vbmi umip pku ospke waitpkg avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg tme avx512_vpopcntdq rdpid cldemote movdiri movdir64b md_clear serialize amx_bf16 avx512_fp16 amx_tile amx_int8 flush_l1d arch_capabilities
#
# compiler:     cc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
# openssl:      OpenSSL 3.5.5 27 Jan 2026 (Library: OpenSSL 3.5.5 27 Jan 2026)
# sources:
#   schemes/faest/ref: https://github.com/faest-sign/faest-arch-opt@1d8330979cb467c54edac43ffe695da249fa3417
#   schemes/fndsa/ref: https://github.com/pornin/c-fn-dsa@33026d4d2734049a23f065f77eea11c35de58d76
#   schemes/hawk/ref: https://github.com/hawk-sign/dev@1b9fef52559273fe7b40fe3e22968eaedd3a4c2a
#   schemes/mayo/ref: https://github.com/PQCMayo/MAYO-C@74de637a7c4a7f9fafa888183bc05f5cf920cd2d
#   schemes/mldsa/ref: https://github.com/pq-crystals/dilithium.git@6e00625c5b29f516c6de973fe2ee2fbb150973f9
#   schemes/mqom/ref: https://github.com/mqom/mqom-v3@d9c64e386b186ee186684a0389fc32009bd67cd1
#   schemes/qruov/ref: https://github.com/qruov/round2.git@787f8dba4c158f713d3351e7531edbec4afddf97
#   schemes/sdith/ref: https://github.com/sdith/sdith@fff41ae5b12ba3c6b90d8f97b2ede57aa277a92f
#   schemes/sdith2/ref: https://github.com/sdith/sdith@ce7adf06476674d4ff990f378f83f9981cd6745b
#   schemes/slhdsa/ref: https://github.com/pq-code-package/slhdsa-c@fac08b7d0a93849de0ee163c63712395e012b38c
#   schemes/snova/ref: https://github.com/PQCLAB-SNOVA/SNOVA.git@9b29c1e332cbd85757c8d6362a57b9a8c8298a38
#   schemes/sqisign/ref: https://github.com/SQISign/the-sqisign@6d017708db403bf83977fa70770fc4f7f9e9ff21
#   schemes/uov/ref: https://github.com/pqov/pqov.git@fac2ec1fe6d8ea508eab4b98eb5341e1eed930a4
# filter:       mqom3
#
# cyclecounter: rdpmc CPU_CYCLES (real core cycles, user-space)
scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                       -----    ------------  -----------      ----------   ---------    ------------  ----------
MQOM3-L1-gf2-shorter-ct        200          148872        40.6         9432676      2515.4         6684356      1791.2
MQOM3-L1-gf2-shorter-ot        200          152357        41.7        13543104      3637.1        13031948      3497.3
MQOM3-L1-gf16-short-ct         200           56257        16.1         3034385       809.3         3480598       929.2
MQOM3-L1-gf16-short-ot         200           57945        16.5         3357996       900.8         3366406       898.7
MQOM3-L1-gf16-fast-ct          200           79296        22.1         1015147       271.9         1091593       293.5
MQOM3-L1-gf16-fast-ot          200           79613        22.2         1134663       304.5         1087231       289.2
MQOM3-L3-gf2-shorter-ct        100         1305467       354.4        28209164      7572.0        26233936      7013.2
MQOM3-L3-gf2-shorter-ot        100         1371418       372.5        35719296      9593.3        33241974      8893.9
MQOM3-L3-gf16-short-ct         100          347209        95.3        14028286      3756.6        15252780      4062.5
MQOM3-L3-gf16-short-ot         100          348790        95.6        20286511      5443.8        18410541      4929.4
MQOM3-L3-gf16-fast-ct          100          417702       111.2         4238409      1135.2         4466772      1189.5
MQOM3-L3-gf16-fast-ot          100          415624       110.7         4919992      1315.1         4774407      1272.9
MQOM3-L5-gf2-shorter-ct         50         2645403       711.1        39850663     10725.0        44968251     12018.0
MQOM3-L5-gf2-shorter-ot         50         2653721       712.9        48846088     13085.3        48496051     12993.0
MQOM3-L5-gf16-short-ct          50          612972       165.5        17344031      4654.1        20820880      5567.1
MQOM3-L5-gf16-short-ot          50          596593       162.4        23283202      6243.7        22654259      6070.0
MQOM3-L5-gf16-fast-ct           50          676088       181.1         6992202      1862.5         7418921      1990.9
MQOM3-L5-gf16-fast-ot           50          676536       179.8         9090651      2419.6         7612526      2033.6

