file	name	pk	sk	sig	iters
faest_128s	FAEST-128s	32	32	4066	200
faest_128f	FAEST-128f	32	32	5170	1000
faest_em_128s	FAEST-EM-128s	32	32	3466	200
faest_em_128f	FAEST-EM-128f	32	32	4170	1000
faest_192s	FAEST-192s	48	40	9410	100
faest_192f	FAEST-192f	48	40	11738	1000
faest_em_192s	FAEST-EM-192s	48	48	7874	100
faest_em_192f	FAEST-EM-192f	48	48	9818	1000
faest_256s	FAEST-256s	48	48	16626	50
faest_256f	FAEST-256f	48	48	20856	500
faest_em_256s	FAEST-EM-256s	64	64	14554	50
faest_em_256f	FAEST-EM-256f	64	64	18084	500
