file	name	pk	sk	sig	iters	security	base_field	tradeoff	ot_variant
mqom3_cat1_gf2_shorter_ct	MQOM3-L1-gf2-shorter-ct	52	72	2492	200	128	1	2	0
mqom3_cat1_gf2_shorter_ot	MQOM3-L1-gf2-shorter-ot	52	72	2492	200	128	1	2	1
mqom3_cat1_gf16_short_ct	MQOM3-L1-gf16-short-ct	64	96	2932	200	128	4	1	0
mqom3_cat1_gf16_short_ot	MQOM3-L1-gf16-short-ot	64	96	2932	200	128	4	1	1
mqom3_cat1_gf16_fast_ct	MQOM3-L1-gf16-fast-ct	64	96	3316	200	128	4	0	0
mqom3_cat1_gf16_fast_ot	MQOM3-L1-gf16-fast-ot	64	96	3316	200	128	4	0	1
mqom3_cat3_gf2_shorter_ct	MQOM3-L3-gf2-shorter-ct	78	108	5932	100	192	1	2	0
mqom3_cat3_gf2_shorter_ot	MQOM3-L3-gf2-shorter-ot	78	108	5890	100	192	1	2	1
mqom3_cat3_gf16_short_ct	MQOM3-L3-gf16-short-ct	96	144	6556	100	192	4	1	0
mqom3_cat3_gf16_short_ot	MQOM3-L3-gf16-short-ot	96	144	6556	100	192	4	1	1
mqom3_cat3_gf16_fast_ct	MQOM3-L3-gf16-fast-ct	96	144	7564	100	192	4	0	0
mqom3_cat3_gf16_fast_ot	MQOM3-L3-gf16-fast-ot	96	144	7660	100	192	4	0	1
mqom3_cat5_gf2_shorter_ct	MQOM3-L5-gf2-shorter-ct	104	144	10836	50	256	1	2	0
mqom3_cat5_gf2_shorter_ot	MQOM3-L5-gf2-shorter-ot	104	144	10804	50	256	1	2	1
mqom3_cat5_gf16_short_ct	MQOM3-L5-gf16-short-ct	128	192	12100	50	256	4	1	0
mqom3_cat5_gf16_short_ot	MQOM3-L5-gf16-short-ot	128	192	11716	50	256	4	1	1
mqom3_cat5_gf16_fast_ct	MQOM3-L5-gf16-fast-ct	128	192	13540	50	256	4	0	0
mqom3_cat5_gf16_fast_ot	MQOM3-L5-gf16-fast-ot	128	192	13380	50	256	4	0	1
