file	name	pk	sk	sig	iters
qruov1q127L3v156m54	QR-UOV-I-(127,156,54,3)	24256	32	200	200
qruov1q31L3v165m60	QR-UOV-I-(31,165,60,3)	23641	32	157	200
qruov1q31L10v600m70	QR-UOV-I-(31,600,70,10)	12266	32	435	200
qruov1q7L10v740m100	QR-UOV-I-(7,740,100,10)	20641	32	331	200
qruov3q127L3v228m78	QR-UOV-III-(127,228,78,3)	71892	48	292	100
qruov3q31L3v246m87	QR-UOV-III-(31,246,87,3)	70984	48	233	100
qruov3q31L10v890m100	QR-UOV-III-(31,890,100,10)	34399	48	643	100
qruov3q7L10v1100m140	QR-UOV-III-(7,1100,140,10)	55149	48	489	100
qruov5q127L3v306m105	QR-UOV-V-(127,306,105,3)	173676	64	392	50
qruov5q31L3v324m114	QR-UOV-V-(31,324,114,3)	158421	64	306	50
qruov5q31L10v1120m120	QR-UOV-V-(31,1120,120,10)	58532	64	807	50
qruov5q7L10v1490m190	QR-UOV-V-(7,1490,190,10)	135407	64	662	50
