file	name	pk	sk	sig	iters
snova_24_5_16_4	SNOVA-24-5-16-4	1016	48	248	1000
snova_28_5_19_4	SNOVA-28-5-19-4	576	48	298	1000
snova_48_17_16_2	SNOVA-48-17-16-2	9842	48	146	1000
snova_48_16_19_2	SNOVA-48-16-19-2	4522	48	153	1000
snova_28_4_16_4x5	SNOVA-28-4-16-4x5	656	48	336	1000
snova_28_4_19_4x5	SNOVA-28-4-19-4x5	379	48	358	1000
snova_40_7_19_4	SNOVA-40-7-19-4	1532	48	418	1000
snova_37_8_16_4	SNOVA-37-8-16-4	4112	48	376	1000
snova_72_25_16_2	SNOVA-72-25-16-2	31266	48	210	1000
snova_38_5_16_4x5	SNOVA-38-5-16-4x5	1416	48	446	1000
snova_38_5_19_4x5	SNOVA-38-5-19-4x5	800	48	475	1000
snova_50_9_19_4	SNOVA-50-9-19-4	3213	48	520	1000
snova_60_10_16_4	SNOVA-60-10-16-4	8016	48	576	1000
snova_97_33_16_2	SNOVA-97-33-16-2	71890	48	276	1000
