Scheme,Parameterset,Security level,pk size,sig size,signing (cycles),verification (cycles),signing (ms),verification (ms)
CROSS,R-SDP 5 small,5,121,43592,15690000,9370000,,
CROSS,R-SDP 5 balanced,5,121,51056,8260000,5000000,,
CROSS,R-SDP 3 small,3,91,23642,12200000,6800000,,
CROSS,R-SDP 3 balanced,3,91,28222,4970000,2890000,,
CROSS,R-SDP 5 fast,5,121,76298,4930000,3040000,,
CROSS,R-SDP(G) 5 small,5,74,32742,14120000,7730000,,
CROSS,R-SDP(G) 5 balanced,5,74,40134,4990000,2960000,,
CROSS,R-SDP 1 small,1,61,10080,8960000,5840000,,
CROSS,R-SDP 1 balanced,1,61,12912,2380000,1440000,,
CROSS,R-SDP(G) 3 small,3,59,18188,9670000,5610000,,
CROSS,R-SDP(G) 3 balanced,3,59,23380,2630000,1530000,,
CROSS,R-SDP 3 fast,3,91,42682,2750000,1690000,,
CROSS,R-SDP(G) 5 fast,5,74,48938,3930000,3040000,,
CROSS,R-SDP(G) 1 small,1,38,7956,6540000,3960000,,
CROSS,R-SDP(G) 1 balanced,1,38,9236,1850000,1090000,,
CROSS,R-SDP 1 fast,1,61,19152,1280000,780000,,
CROSS,R-SDP(G) 3 fast,3,59,27404,2040000,1210000,,
CROSS,R-SDP(G) 1 fast,1,38,12472,940000,550000,,
ML-DSA,ML-DSA-87,5,"2,592","4,627","642,192","279,936",,
ML-DSA,ML-DSA-65,3,"1,952","3,309","529,106","179,424",,
ML-DSA,ML-DSA-44,2,"1,312","2,420","333,013","118,412",,
FAEST,192s,3,64,"12,744",,,19.18,19.31
FAEST,192f,3,64,"16,792",,,1.96,1.96
FAEST,256s,5,64,"22,100",,,26.65,26.76
FAEST,256f,5,64,"28,400",,,3.10,3.10
FAEST,EM-256s,5,64,"20,956",,,25.65,25.87
FAEST,EM-256f,5,64,"26,736",,,3.04,3.03
FAEST,EM-192s,3,48,"10,824",,,18.46,18.52
FAEST,EM-192f,3,48,"13,912",,,1.87,1.87
FAEST,128s,1,32,"5,006",,,8.10,8.10
FAEST,128f,1,32,"6,336",,,0.87,0.87
FAEST,EM-128s,1,32,"4,566",,,8.09,8.05
FAEST,EM-128f,1,32,"5,696",,,0.85,0.86
Falcon,1024,5,"1,793","1,280","2,053,080","160,596",,
Falcon,512,1,897,666,"1,009,764","81,036",,
HAWK,1024,5,"2,440","1,221","180,816","302,861",,
HAWK,512,1,"1,024",555,"85,372","148,224",,
